#Network | Station | Latitude | Longitude | Elevation | Sitename | StartTime | EndTime

#DATACENTER=IRISDMC,http://ds.iris.edu
ZG|R0511|33.537582|-116.594208|1450.5|Sage Brush Flats Array R0511|2014-05-08T00:00:00|2014-06-03T23:59:59
ZG|R0512|33.537804|-116.594452|1451.5|Sage Brush Flats Array R0512|2014-05-08T00:00:00|2014-06-02T23:59:59
ZG|R0513|33.53801|-116.594673|1454.2|Sage Brush Flats Array R0513|2014-05-08T00:00:00|2014-06-03T23:59:59
ZG|R0514|33.538227|-116.594902|1459.4|Sage Brush Flats Array R0514|2014-05-08T00:00:00|2014-05-30T23:59:59
ZG|R0515|33.538422|-116.595161|1460.0|Sage Brush Flats Array R0515|2014-05-08T00:00:00|2014-06-04T23:59:59
ZG|R0516|33.538654|-116.59539|1462.3|Sage Brush Flats Array R0516|2014-05-08T00:00:00|2014-06-04T23:59:59
ZG|R0517|33.538887|-116.595604|1468.1|Sage Brush Flats Array R0517|2014-05-08T00:00:00|2014-06-04T23:59:59
ZG|R0518|33.539097|-116.595863|1474.5|Sage Brush Flats Array R0518|2014-05-08T00:00:00|2014-06-05T23:59:59
ZG|R0519|33.539337|-116.596107|1477.6|Sage Brush Flats Array R0519|2014-05-08T00:00:00|2014-06-04T23:59:59
ZG|R0520|33.539509|-116.59626|1480.6|Sage Brush Flats Array R0520|2014-05-08T00:00:00|2014-05-19T23:59:59
ZG|R0701|33.535515|-116.591682|1453.4|Sage Brush Flats Array R0701|2014-05-08T00:00:00|2014-06-03T23:59:59
ZG|R0702|33.535732|-116.591942|1454.0|Sage Brush Flats Array R0702|2014-05-08T00:00:00|2014-05-27T23:59:59
ZG|R0703|33.53595|-116.59214|1452.6|Sage Brush Flats Array R0703|2014-05-08T00:00:00|2014-06-03T23:59:59
ZG|R0704|33.536171|-116.592377|1458.9|Sage Brush Flats Array R0704|2014-05-08T00:00:00|2014-06-03T23:59:59
ZG|R0705|33.536385|-116.592606|1456.1|Sage Brush Flats Array R0705|2014-05-08T00:00:00|2014-06-03T23:59:59
ZG|R0706|33.536613|-116.592812|1459.1|Sage Brush Flats Array R0706|2014-05-08T00:00:00|2014-06-03T23:59:59
ZG|R0707|33.536827|-116.593079|1455.9|Sage Brush Flats Array R0707|2014-05-08T00:00:00|2014-06-04T23:59:59
ZG|R0708|33.537045|-116.593315|1450.9|Sage Brush Flats Array R0708|2014-05-08T00:00:00|2014-06-04T23:59:59
ZG|R0709|33.537258|-116.593552|1449.4|Sage Brush Flats Array R0709|2014-05-08T00:00:00|2014-06-03T23:59:59
ZG|R0710|33.537464|-116.593765|1444.1|Sage Brush Flats Array R0710|2014-05-08T00:00:00|2014-06-03T23:59:59
ZG|R0711|33.537708|-116.594032|1443.1|Sage Brush Flats Array R0711|2014-05-08T00:00:00|2014-06-05T23:59:59
ZG|R0712|33.537914|-116.594231|1442.6|Sage Brush Flats Array R0712|2014-05-08T00:00:00|2014-06-01T23:59:59
ZG|R0713|33.538105|-116.594452|1444.6|Sage Brush Flats Array R0713|2014-05-08T00:00:00|2014-06-04T23:59:59
ZG|R0714|33.538342|-116.594711|1450.8|Sage Brush Flats Array R0714|2014-05-08T00:00:00|2014-06-03T23:59:59
ZG|R0715|33.538578|-116.594948|1449.9|Sage Brush Flats Array R0715|2014-05-08T00:00:00|2014-06-04T23:59:59
ZG|R0716|33.538776|-116.595169|1455.4|Sage Brush Flats Array R0716|2014-05-08T00:00:00|2014-06-04T23:59:59
ZG|R0717|33.538998|-116.595406|1462.7|Sage Brush Flats Array R0717|2014-05-08T00:00:00|2014-06-05T23:59:59
ZG|R0718|33.539192|-116.595627|1467.9|Sage Brush Flats Array R0718|2014-05-08T00:00:00|2014-05-22T23:59:59
ZG|R0719|33.539436|-116.595863|1469.3|Sage Brush Flats Array R0719|2014-05-08T00:00:00|2014-06-04T23:59:59
ZG|R0720|33.539635|-116.596092|1476.9|Sage Brush Flats Array R0720|2014-05-08T00:00:00|2014-06-05T23:59:59
ZG|R0901|33.535603|-116.591492|1449.1|Sage Brush Flats Array R0901|2014-05-08T00:00:00|2014-05-26T23:59:59
ZG|R0902|33.535847|-116.591713|1447.6|Sage Brush Flats Array R0902|2014-05-08T00:00:00|2014-06-03T23:59:59
ZG|R0903|33.536037|-116.591927|1449.2|Sage Brush Flats Array R0903|2014-05-08T00:00:00|2014-06-04T23:59:59
